x_B,P_GPa,k,S_cc,S_cc0_M2
0.6,10,1.5900,1.403027e-01,5.056294e-02
0.6,10,1.6100,1.627444e-01,5.056294e-02
0.6,10,1.6300,1.744351e-01,5.056294e-02
0.6,10,1.6400,1.479860e-01,5.056294e-02
0.6,10,1.6500,1.885410e-01,5.056294e-02
0.6,10,1.6800,1.583592e-01,5.056294e-02
0.6,10,1.7100,1.756642e-01,5.056294e-02
0.6,10,1.7500,1.954973e-01,5.056294e-02
0.6,10,1.7600,1.802694e-01,5.056294e-02
0.6,10,1.7800,2.468570e-01,5.056294e-02
0.6,10,1.7900,2.318224e-01,5.056294e-02
0.6,10,1.8000,2.254841e-01,5.056294e-02
0.6,10,1.8100,2.519849e-01,5.056294e-02
0.6,10,1.8200,2.457618e-01,5.056294e-02
0.6,10,1.8400,2.610073e-01,5.056294e-02
0.6,10,1.8600,2.443757e-01,5.056294e-02
0.6,10,1.8800,2.805369e-01,5.056294e-02
0.6,10,1.8900,2.821479e-01,5.056294e-02
0.6,10,1.9100,2.529131e-01,5.056294e-02
0.6,10,1.9200,3.518436e-01,5.056294e-02
0.6,10,1.9300,3.333566e-01,5.056294e-02
0.6,10,1.9400,3.931546e-01,5.056294e-02
0.6,10,1.9700,3.383587e-01,5.056294e-02
0.6,10,1.9800,3.712426e-01,5.056294e-02
0.6,10,1.9900,3.113613e-01,5.056294e-02
0.6,10,2.0000,3.492736e-01,5.056294e-02
0.6,10,2.0200,3.568884e-01,5.056294e-02
0.6,10,2.0400,4.149290e-01,5.056294e-02
0.6,10,2.0500,4.111396e-01,5.056294e-02
0.6,10,2.0600,4.545192e-01,5.056294e-02
0.6,10,2.0700,3.913213e-01,5.056294e-02
0.6,10,2.1000,4.060989e-01,5.056294e-02
0.6,10,2.1200,4.223759e-01,5.056294e-02
0.6,10,2.1500,5.438780e-01,5.056294e-02
0.6,10,2.1700,4.158650e-01,5.056294e-02
0.6,10,2.1800,4.451822e-01,5.056294e-02
0.6,10,2.2100,4.500677e-01,5.056294e-02
0.6,10,2.2200,4.997399e-01,5.056294e-02
0.6,10,2.2300,5.365323e-01,5.056294e-02
0.6,10,2.2400,5.264162e-01,5.056294e-02
0.6,10,2.2600,4.698138e-01,5.056294e-02
0.6,10,2.2700,4.578561e-01,5.056294e-02
0.6,10,2.2900,4.986462e-01,5.056294e-02
0.6,10,2.3300,5.251180e-01,5.056294e-02
0.6,10,2.3400,4.624895e-01,5.056294e-02
0.6,10,2.3600,5.083339e-01,5.056294e-02
0.6,10,2.3700,5.679113e-01,5.056294e-02
0.6,10,2.3900,4.663962e-01,5.056294e-02
0.6,10,2.4300,3.320693e-01,5.056294e-02
0.6,10,2.4400,3.986513e-01,5.056294e-02
0.6,10,2.5000,3.957431e-01,5.056294e-02
0.6,10,2.5100,3.643868e-01,5.056294e-02
0.6,10,2.5300,3.723791e-01,5.056294e-02
0.6,10,2.5400,4.277030e-01,5.056294e-02
0.6,10,2.5500,3.967180e-01,5.056294e-02
0.6,10,2.5700,3.932142e-01,5.056294e-02
0.6,10,2.6500,3.665364e-01,5.056294e-02
0.6,10,2.7100,3.264826e-01,5.056294e-02
0.6,10,2.7300,2.944459e-01,5.056294e-02
0.6,10,2.7900,3.080210e-01,5.056294e-02
0.6,10,2.9700,2.577427e-01,5.056294e-02
0.7,10,0.4200,2.157084e-02,7.560161e-02
0.7,10,0.4400,5.155430e-02,7.560161e-02
0.7,10,0.6000,6.494772e-02,7.560161e-02
0.7,10,0.6100,7.262438e-02,7.560161e-02
0.7,10,0.6200,7.780115e-02,7.560161e-02
0.7,10,0.7500,1.068487e-01,7.560161e-02
0.7,10,0.8300,8.836037e-02,7.560161e-02
0.7,10,0.8700,1.179882e-01,7.560161e-02
0.7,10,0.8800,8.757157e-02,7.560161e-02
0.7,10,0.9400,9.024587e-02,7.560161e-02
0.7,10,0.9700,8.591843e-02,7.560161e-02
0.7,10,0.9800,7.963067e-02,7.560161e-02
0.7,10,1.0400,8.828999e-02,7.560161e-02
0.7,10,1.0600,9.485831e-02,7.560161e-02
0.7,10,1.0700,7.609655e-02,7.560161e-02
0.7,10,1.2100,9.111035e-02,7.560161e-02
0.7,10,1.2400,9.923382e-02,7.560161e-02
0.7,10,1.2500,1.211548e-01,7.560161e-02
0.7,10,1.2800,9.410300e-02,7.560161e-02
0.7,10,1.2900,1.178043e-01,7.560161e-02
0.7,10,1.3100,1.000929e-01,7.560161e-02
0.7,10,1.3200,1.211653e-01,7.560161e-02
0.7,10,1.3300,1.086172e-01,7.560161e-02
0.7,10,1.3700,1.182836e-01,7.560161e-02
0.7,10,1.3800,1.150136e-01,7.560161e-02
0.7,10,1.3900,1.145767e-01,7.560161e-02
0.7,10,1.4000,1.014277e-01,7.560161e-02
0.7,10,1.4400,1.220238e-01,7.560161e-02
0.7,10,1.4500,1.315931e-01,7.560161e-02
