route,species_a,species_b,type_a,type_b,x_A,x_B_pair,rho_A,rho_B_pair,rho_tot,k,S_cc,S_AA,S_AB,S_BB_pair,S_cc0,n_frames,frac_tag,dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.39000000e+00,1.00188937e-01,1.18893884e-02,-1.43852224e-02,2.88580968e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.40000000e+00,1.09399739e-01,1.29823878e-02,-1.57884804e-02,3.08657445e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.41000000e+00,1.08445517e-01,1.28374478e-02,-1.55032901e-02,3.22835931e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.42000000e+00,1.18392891e-01,1.38448944e-02,-1.73412283e-02,3.46394062e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.43000000e+00,1.10125886e-01,1.29033399e-02,-1.60186498e-02,3.27111452e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.44000000e+00,1.21380194e-01,1.42971182e-02,-1.76571270e-02,3.48404836e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.45000000e+00,1.12960516e-01,1.35504883e-02,-1.60107994e-02,3.18741979e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.46000000e+00,1.17319123e-01,1.37670065e-02,-1.70161140e-02,3.49050817e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.47000000e+00,1.19798070e-01,1.42209944e-02,-1.72259310e-02,3.42310199e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.48000000e+00,1.24837288e-01,1.47728068e-02,-1.79705888e-02,3.62525590e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.49000000e+00,1.28353333e-01,1.50833706e-02,-1.86162548e-02,3.78456249e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.50000000e+00,1.24037336e-01,1.46505994e-02,-1.78570787e-02,3.64478017e-02,,335,last0.5,SUPERCELL.dump
