r_A g_B_B g_B_Fe g_Fe_Fe
5.410000000000000142e+00 9.727587418738480318e-01 9.881177495809682076e-01 1.079243993727006412e+00
5.429999999999999716e+00 9.823090784726630220e-01 9.788196840637334306e-01 1.078088556996908531e+00
5.450000000000000178e+00 9.810507511687934779e-01 9.815651855732555608e-01 1.081573591017670699e+00
5.470000000000000639e+00 9.850942219555336443e-01 9.744746899404087559e-01 1.061571790519620695e+00
5.490000000000000213e+00 9.881964737470015914e-01 9.718429931105481145e-01 1.075708233774577360e+00
5.509999999999999787e+00 9.978336481098509791e-01 9.709856781911362367e-01 1.055362592962736601e+00
5.530000000000000249e+00 9.943010834099544892e-01 9.709935477095819056e-01 1.049146631165365662e+00
5.550000000000000711e+00 1.001474879530248829e+00 9.650312458849363839e-01 1.057497461280745732e+00
5.570000000000000284e+00 9.993927235470291270e-01 9.633146007871128402e-01 1.047235639211398173e+00
5.589999999999999858e+00 1.006092113310427250e+00 9.621305060881651938e-01 1.035848175775839541e+00
5.610000000000000320e+00 1.005360342774529681e+00 9.671238703828839434e-01 1.036063960398218464e+00
5.629999999999999893e+00 1.009162434719497181e+00 9.656007976840611517e-01 1.024356156974997489e+00
5.650000000000000355e+00 1.013591911707833360e+00 9.640332973603689126e-01 1.024219927682391340e+00
5.669999999999999929e+00 1.015008540466087794e+00 9.721226599044353600e-01 1.014628323565336165e+00
5.689999999999999503e+00 1.013576218957282116e+00 9.672066410155000238e-01 1.009041462850437831e+00
5.709999999999999964e+00 1.017425771578563065e+00 9.740787955469895065e-01 1.006964526507738711e+00
5.730000000000000426e+00 1.018242209463348535e+00 9.753693200464135238e-01 9.996204668704934404e-01
5.750000000000000000e+00 1.020444947076922126e+00 9.740135881409232033e-01 9.946671275529583856e-01
